Date,Open,High,Low,Close,Adj Close,Volume
1995-08-18,42.687500,42.687500,42.375000,42.500000,31.290653,1200
1995-08-21,42.656250,42.703121,42.140621,42.156250,31.037546,14000
1995-08-22,42.109379,42.281250,42.078121,42.171879,31.049078,6300
1995-08-23,42.312500,42.406250,42.312500,42.406250,31.221619,2000
1995-08-24,42.375000,42.375000,42.093750,42.218750,31.083572,3600
1995-08-25,42.296879,42.390621,42.140621,42.281250,31.129583,40500
1995-08-28,42.312500,42.312500,41.953121,42.156250,31.037546,7300
1995-08-29,42.156250,42.156250,41.500000,41.921879,30.864990,81600
1995-08-30,42.109379,42.171879,42.093750,42.125000,31.014536,55000
1995-08-31,42.281250,42.453121,42.265621,42.390621,31.210108,1200
1995-09-01,42.296879,42.484379,42.296879,42.484379,31.279144,4300
1995-09-05,42.609379,42.968750,42.609379,42.968750,31.635759,53500
1995-09-06,43.015621,43.500000,43.015621,43.500000,32.026890,48900
1995-09-07,43.500000,43.593750,43.390621,43.468750,32.003857,29800
1995-09-08,43.593750,43.640621,43.359379,43.640621,32.130424,7000
1995-09-11,43.750000,43.828121,43.687500,43.687500,32.164948,10700
1995-09-12,43.671879,43.828121,43.656250,43.828121,32.268467,26800
1995-09-13,43.718750,43.875000,43.500000,43.812500,32.256966,25000
1995-09-14,43.984379,43.984379,43.734379,43.734379,32.199448,65700
1995-09-15,43.593750,43.593750,43.375000,43.437500,31.980869,4300
1995-09-18,43.390621,43.390621,43.125000,43.156250,31.773798,3900
1995-09-19,43.515621,43.796879,43.515621,43.796879,32.245476,2800
1995-09-20,43.875000,43.968750,43.828121,43.968750,32.372021,3500
1995-09-21,43.812500,43.812500,43.343750,43.625000,32.118916,6900
1995-09-22,43.296879,43.500000,43.265621,43.468750,32.003857,5000
1995-09-25,43.453121,43.453121,43.000000,43.000000,31.658760,2200
1995-09-26,43.171879,43.312500,42.968750,43.078121,31.716280,3700
1995-09-27,42.703121,42.703121,42.609379,42.609379,31.371170,1700
1995-09-28,43.109379,43.468750,43.109379,43.437500,31.980869,2600
1995-09-29,43.453121,43.484379,43.250000,43.406250,31.957869,6900
1995-10-02,43.187500,43.359379,43.000000,43.000000,31.658760,2000
1995-10-03,42.765621,42.812500,42.453121,42.453121,31.256134,16800
1995-10-04,42.093750,42.187500,41.984379,42.062500,30.968519,1200
1995-10-05,41.828121,42.328121,41.828121,42.328121,31.164093,9000
1995-10-06,42.375000,42.531250,42.375000,42.453121,31.256134,1300
1995-10-09,42.140621,42.140621,41.343750,41.468750,30.531374,13500
1995-10-10,40.781250,40.984379,40.687500,40.937500,30.140251,4100
1995-10-11,41.562500,42.109379,41.468750,42.062500,30.968519,42800
1995-10-12,42.093750,42.500000,42.093750,42.500000,31.290653,1600
1995-10-13,42.843750,42.843750,42.703121,42.703121,31.440187,7500
1995-10-16,42.812500,42.812500,42.500000,42.531250,31.313654,79400
1995-10-17,42.484379,43.046879,42.484379,43.046879,31.693277,4800
1995-10-18,43.531250,43.531250,43.078121,43.078121,31.716280,56200
1995-10-19,43.109379,43.109379,43.000000,43.015621,31.670269,2600
1995-10-20,43.109379,43.156250,42.625000,42.687500,31.428663,26400
1995-10-23,42.265621,42.796879,42.265621,42.656250,31.405682,8100
1995-10-24,42.796879,42.796879,42.562500,42.703121,31.440187,2400
1995-10-25,42.812500,42.812500,42.015621,42.125000,31.014536,12500
1995-10-26,42.125000,42.125000,41.359379,41.359379,30.450844,17900
1995-10-27,41.562500,41.953121,41.375000,41.937500,30.876507,79400
1995-10-30,42.125000,42.406250,42.125000,42.250000,31.106588,4700
1995-10-31,42.453121,42.453121,42.031250,42.031250,30.945513,23100
1995-11-01,42.109379,42.265621,42.109379,42.265621,31.118073,6200
1995-11-02,42.875000,43.156250,42.875000,43.156250,31.773798,1300
1995-11-03,43.312500,43.390621,43.171879,43.390621,31.946358,6300
1995-11-06,43.281250,43.515621,43.187500,43.343750,31.911848,7600
1995-11-07,43.031250,43.125000,42.703121,42.703121,31.440187,5700
1995-11-08,43.000000,43.171879,42.984379,42.984379,31.647257,4900
1995-11-09,43.343750,43.437500,43.218750,43.437500,31.980869,35300
1995-11-10,43.390621,43.484379,43.359379,43.484379,32.015369,2400
1995-11-13,43.375000,43.484379,43.140621,43.140621,31.762289,2600
1995-11-14,42.968750,43.078121,42.687500,42.687500,31.428663,30000
1995-11-15,42.750000,42.953121,42.578121,42.953121,31.624241,9200
1995-11-16,42.828121,43.312500,42.828121,43.156250,31.773798,13400
1995-11-17,43.265621,43.359379,43.265621,43.281250,31.865822,5000
1995-11-20,43.234379,43.281250,42.843750,42.843750,31.543718,25500
1995-11-21,42.796879,42.828121,42.453121,42.703121,31.440187,7500
1995-11-22,42.734379,43.000000,42.734379,42.859379,31.555218,5600
1995-11-24,42.812500,42.890621,42.812500,42.890621,31.578262,400
1995-11-27,43.281250,43.281250,42.968750,43.015621,31.670269,10000
1995-11-28,42.828121,43.375000,42.828121,43.375000,31.934862,9400
1995-11-29,43.562500,43.812500,43.359379,43.812500,32.256966,29000
1995-11-30,43.812500,44.000000,43.703121,43.796879,32.245476,26900
1995-12-01,43.812500,43.875000,43.687500,43.812500,32.256966,18900
1995-12-04,44.015621,44.421879,44.015621,44.421879,32.705624,86600
1995-12-05,44.234379,44.531250,44.203121,44.359379,32.659615,32200
1995-12-06,44.359379,44.359379,43.906250,43.937500,32.348999,1100
1995-12-07,43.875000,43.875000,43.500000,43.500000,32.026890,1100
1995-12-08,43.828121,43.843750,43.593750,43.812500,32.256966,1700
1995-12-11,43.843750,43.859379,43.843750,43.859379,32.291473,1100
1995-12-12,43.828121,43.859379,43.578121,43.703121,32.176441,46400
1995-12-13,43.734379,43.734379,43.656250,43.703121,32.176441,6500
1995-12-14,43.812500,43.812500,43.000000,43.000000,31.658760,2200
1995-12-15,42.875000,42.875000,42.406250,42.406250,31.221619,15800
1995-12-18,42.375000,42.375000,41.625000,41.625000,30.646408,3600
1995-12-19,41.968750,42.562500,41.968750,42.468750,31.267639,4100
1995-12-20,42.890621,42.968750,42.531250,42.531250,31.313654,6000
1995-12-21,42.765621,42.937500,42.734379,42.828121,31.532221,10600
1995-12-22,43.296879,43.296879,43.093750,43.093750,31.727795,76600
1995-12-26,43.125000,43.328121,43.125000,43.328121,31.900335,12900
1995-12-27,43.468750,43.531250,43.390621,43.390621,31.946358,29100
1995-12-28,43.125000,43.328121,43.125000,43.328121,32.036186,7800
1995-12-29,43.234379,43.453121,43.046879,43.453121,32.128624,28200
1996-01-02,43.281250,43.703121,43.281250,43.671879,32.290359,242500
1996-01-03,43.843750,43.875000,43.468750,43.640621,32.267258,14800
1996-01-04,43.500000,43.609379,42.843750,42.843750,31.678051,205900
1996-01-05,42.828121,43.109379,42.796879,42.937500,31.747366,30300
1996-01-08,43.203121,43.203121,42.984379,43.109379,31.874470,3800
1996-01-09,43.265621,43.265621,42.203121,42.203121,31.204384,29600
1996-01-10,41.640621,42.234379,41.484379,41.484379,30.672956,11200
1996-01-11,42.000000,42.312500,41.890621,42.234379,31.227493,8100
1996-01-12,42.468750,42.468750,41.937500,42.156250,31.169725,27400
1996-01-15,42.234379,42.265621,41.406250,41.406250,30.615202,15200
1996-01-16,41.796879,41.843750,41.187500,41.765621,30.880907,73100
1996-01-17,41.531250,42.359379,41.531250,42.093750,31.123520,5900
1996-01-18,42.250000,42.312500,42.093750,42.265621,31.250593,4600
1996-01-19,42.359379,42.703121,42.265621,42.500000,31.423908,10400
1996-01-22,42.640621,42.843750,42.640621,42.843750,31.678051,30400
1996-01-23,42.750000,42.968750,42.718750,42.718750,31.585634,1800
1996-01-24,43.000000,43.468750,43.000000,43.468750,32.140148,37700
1996-01-25,43.484379,43.484379,43.078121,43.078121,31.851349,4200
1996-01-26,42.859379,43.515621,42.859379,43.468750,32.140148,46300
1996-01-29,43.500000,43.500000,43.437500,43.500000,32.163280,2200
1996-01-30,43.765621,44.000000,43.703121,44.000000,32.532970,28300
1996-01-31,44.031250,44.281250,44.000000,44.187500,32.671623,10800
1996-02-01,44.234379,44.531250,44.234379,44.531250,32.925774,31200
